Industry,Year,Month,Weekly-Earnings,Employees (Thousands),Date
Florists,2007,5,382.28,103.1,5/1/2007
Florists,2007,6,331.76,95.6,6/1/2007
Florists,2007,7,321.92,94,7/1/2007
Florists,2007,8,321.76,91.4,8/1/2007
Florists,2007,9,323.59,92.4,9/1/2007
Florists,2007,10,326.76,93.7,10/1/2007
Florists,2007,11,330.26,94.9,11/1/2007
Florists,2007,12,360.9,96.3,12/1/2007
Florists,2008,1,317.31,89.5,1/1/2008
Florists,2008,2,366.72,96.3,2/1/2008
Florists,2008,3,329.13,89.5,3/1/2008
Florists,2008,4,325.14,90.3,4/1/2008
Florists,2008,5,351.94,97.3,5/1/2008
Florists,2008,6,325.58,89.6,6/1/2008
Florists,2008,7,325.08,85,7/1/2008
Florists,2008,8,333.13,83.6,8/1/2008
Florists,2008,9,321.74,82.8,9/1/2008
Florists,2008,10,322.24,85,10/1/2008
Florists,2008,11,324.94,85.5,11/1/2008
Florists,2008,12,333.87,84.4,12/1/2008
Florists,2009,1,321.98,77.8,1/1/2009
Florists,2009,2,376.93,84.4,2/1/2009
Florists,2009,3,321.05,75.6,3/1/2009
Florists,2009,4,338.94,78.4,4/1/2009
Florists,2009,5,341.04,85.8,5/1/2009
Florists,2009,6,314.75,80,6/1/2009
Florists,2009,7,318,74.9,7/1/2009
Florists,2009,8,324.74,73.5,8/1/2009
Florists,2009,9,314.25,72.2,9/1/2009
Florists,2009,10,341.55,73.7,10/1/2009
Florists,2009,11,356.56,72.2,11/1/2009
Florists,2009,12,350,74.9,12/1/2009
Florists,2010,1,324.79,68.9,1/1/2010
Florists,2010,2,348,75.9,2/1/2010
Florists,2010,3,319.02,69.2,3/1/2010
Florists,2010,4,321.3,72,4/1/2010
Florists,2010,5,353.69,78.4,5/1/2010
Florists,2010,6,313.33,72.1,6/1/2010
Florists,2010,7,316.14,70.4,7/1/2010
Florists,2010,8,326.19,68.8,8/1/2010
Florists,2010,9,310.11,68.7,9/1/2010
Florists,2010,10,342.7,67.7,10/1/2010
Florists,2010,11,328.86,67.9,11/1/2010
Florists,2010,12,348.08,68.9,12/1/2010
Florists,2011,1,312.91,65,1/1/2011
Florists,2011,2,356.41,71.5,2/1/2011
Florists,2011,3,326.25,66.4,3/1/2011
Florists,2011,4,346.36,67.5,4/1/2011
Florists,2011,5,377.43,73.5,5/1/2011
Florists,2011,6,348.61,68.7,6/1/2011
Florists,2011,7,352.16,66.8,7/1/2011
Florists,2011,8,360.89,65.4,8/1/2011
Florists,2011,9,355.61,66.1,9/1/2011
Florists,2011,10,363.94,66.3,10/1/2011
Florists,2011,11,357.19,67.1,11/1/2011
Florists,2011,12,373.7,68.1,12/1/2011
Florists,2012,1,357.49,63.8,1/1/2012
Florists,2012,2,414.06,75.6,2/1/2012
Florists,2012,3,354.45,65.6,3/1/2012
Florists,2012,4,366.11,68.4,4/1/2012
Florists,2012,5,407.72,75.5,5/1/2012
Florists,2012,6,367.35,69.7,6/1/2012
Florists,2012,7,364.44,67.5,7/1/2012
Florists,2012,8,384.06,65.7,8/1/2012
Florists,2012,9,390.86,67,9/1/2012
Florists,2012,10,399.37,66.8,10/1/2012
Florists,2012,11,394.24,68.1,11/1/2012
Florists,2012,12,417.2,69.5,12/1/2012
Florists,2013,1,386.93,64,1/1/2013
Florists,2013,2,421.61,75.6,2/1/2013
Florists,2013,3,384.97,65.1,3/1/2013
Florists,2013,4,365.58,68.3,4/1/2013
Florists,2013,5,407.39,75.8,5/1/2013
Florists,2013,6,368.55,68.8,6/1/2013
Florists,2013,7,360.43,66.2,7/1/2013
Florists,2013,8,373.18,64.3,8/1/2013
Florists,2013,9,382.81,65.1,9/1/2013
Florists,2013,10,388.03,65.6,10/1/2013
Florists,2013,11,386.39,65.7,11/1/2013
Florists,2013,12,392.75,67.4,12/1/2013
Florists,2014,1,371.52,63.1,1/1/2014
Florists,2014,2,432,71.6,2/1/2014
Florists,2014,3,381.71,64,3/1/2014
Florists,2014,4,379.75,66.4,4/1/2014
Florists,2014,5,404.4,72.9,5/1/2014
Florists,2014,6,379.96,67.6,6/1/2014
Florists,2014,7,373.73,65,7/1/2014
Florists,2014,8,386.52,64.8,8/1/2014
Florists,2014,9,381.69,65.4,9/1/2014
Florists,2014,10,386.18,66.5,10/1/2014
Florists,2014,11,390.53,67.2,11/1/2014
Florists,2014,12,396.64,67.7,12/1/2014
Air transportation,2006,1,0,483.6,1/1/2006
Air transportation,2006,2,0,482,2/1/2006
Air transportation,2006,3,917.87,483.3,3/1/2006
Air transportation,2006,4,1025.75,485.3,4/1/2006
Air transportation,2006,5,937.91,486.2,5/1/2006
Air transportation,2006,6,977.4,487.5,6/1/2006
Air transportation,2006,7,1032.98,488.9,7/1/2006
Air transportation,2006,8,942.7,491.2,8/1/2006
Air transportation,2006,9,972.48,490.8,9/1/2006
Air transportation,2006,10,985.6,490.2,10/1/2006
Air transportation,2006,11,941.46,484.6,11/1/2006
Air transportation,2006,12,936.97,490.1,12/1/2006
Air transportation,2007,1,970.4,487.4,1/1/2007
Air transportation,2007,2,965.7,480.1,2/1/2007
Air transportation,2007,3,923.44,483.7,3/1/2007
Air transportation,2007,4,1013.69,490.6,4/1/2007
Air transportation,2007,5,923.78,484.5,5/1/2007
Air transportation,2007,6,951.47,494.3,6/1/2007
Air transportation,2007,7,1013.82,495.1,7/1/2007
Air transportation,2007,8,931.6,497.1,8/1/2007
Air transportation,2007,9,1020.28,496.5,9/1/2007
Air transportation,2007,10,913.63,495.3,10/1/2007
Air transportation,2007,11,911.75,497.6,11/1/2007
Air transportation,2007,12,985.58,498.8,12/1/2007
Air transportation,2008,1,950.03,499,1/1/2008
Air transportation,2008,2,942.68,501.8,2/1/2008
Air transportation,2008,3,948.05,502.5,3/1/2008
Air transportation,2008,4,905.58,499.7,4/1/2008
Air transportation,2008,5,895.36,498.4,5/1/2008
Air transportation,2008,6,1004.91,497.2,6/1/2008
Air transportation,2008,7,950.4,493.7,7/1/2008
Air transportation,2008,8,926.46,489,8/1/2008
Air transportation,2008,9,919.43,482.8,9/1/2008
Air transportation,2008,10,902.72,476.9,10/1/2008
Air transportation,2008,11,933.25,475.4,11/1/2008
Air transportation,2008,12,914.75,471.9,12/1/2008
Air transportation,2009,1,917.62,467.3,1/1/2009
Air transportation,2009,2,937.42,466.2,2/1/2009
Air transportation,2009,3,918.68,466.2,3/1/2009
Air transportation,2009,4,877.27,460.1,4/1/2009
Air transportation,2009,5,872.76,462.1,5/1/2009
Air transportation,2009,6,866.25,462.5,6/1/2009
Air transportation,2009,7,872.13,463.6,7/1/2009
Air transportation,2009,8,895.9,464.8,8/1/2009
Air transportation,2009,9,868.51,462.3,9/1/2009
Air transportation,2009,10,877.37,460.6,10/1/2009
Air transportation,2009,11,885.36,459.1,11/1/2009
Air transportation,2009,12,859.88,459.1,12/1/2009
Air transportation,2010,1,872.85,459.6,1/1/2010
Air transportation,2010,2,874.12,461.5,2/1/2010
Air transportation,2010,3,883.74,461.7,3/1/2010
Air transportation,2010,4,886.42,461.3,4/1/2010
Air transportation,2010,5,952.2,460.5,5/1/2010
Air transportation,2010,6,926.74,461,6/1/2010
Air transportation,2010,7,934.63,459.6,7/1/2010
Air transportation,2010,8,989.98,459.1,8/1/2010
Air transportation,2010,9,937.39,455.5,9/1/2010
Air transportation,2010,10,948.58,453.6,10/1/2010
Air transportation,2010,11,960.02,452.8,11/1/2010
Air transportation,2010,12,961.32,452.9,12/1/2010
Air transportation,2011,1,1040.02,450.8,1/1/2011
Air transportation,2011,2,968.54,452.2,2/1/2011
Air transportation,2011,3,973.18,453.3,3/1/2011
Air transportation,2011,4,989.15,453.2,4/1/2011
Air transportation,2011,5,1024.16,456.9,5/1/2011
Air transportation,2011,6,979.37,461,6/1/2011
Air transportation,2011,7,974.24,462.9,7/1/2011
Air transportation,2011,8,976.86,461.7,8/1/2011
Air transportation,2011,9,958.09,459.4,9/1/2011
Air transportation,2011,10,996.32,457.4,10/1/2011
Air transportation,2011,11,953.11,456.5,11/1/2011
Air transportation,2011,12,943.81,457.1,12/1/2011
Air transportation,2012,1,1037.58,457.9,1/1/2012
Air transportation,2012,2,943.14,457.2,2/1/2012
Air transportation,2012,3,924.46,459.1,3/1/2012
Air transportation,2012,4,988.19,459.8,4/1/2012
Air transportation,2012,5,898.94,461.5,5/1/2012
Air transportation,2012,6,914.79,465.5,6/1/2012
Air transportation,2012,7,950.08,465.3,7/1/2012
Air transportation,2012,8,880.2,464.2,8/1/2012
Air transportation,2012,9,932.63,459,9/1/2012
Air transportation,2012,10,865.32,455.9,10/1/2012
Air transportation,2012,11,887.9,453,11/1/2012
Air transportation,2012,12,960.05,451.7,12/1/2012
Air transportation,2013,1,946.53,446,1/1/2013
Air transportation,2013,2,951.92,444.8,2/1/2013
Air transportation,2013,3,943.16,447.1,3/1/2013
Air transportation,2013,4,955.43,447.6,4/1/2013
Air transportation,2013,5,964.16,447.5,5/1/2013
Air transportation,2013,6,1040.73,448.6,6/1/2013
Air transportation,2013,7,1022.01,446.9,7/1/2013
Air transportation,2013,8,1059.38,443.9,8/1/2013
Air transportation,2013,9,1113.52,441.1,9/1/2013
Air transportation,2013,10,1075.18,438.4,10/1/2013
Air transportation,2013,11,1087.67,438.7,11/1/2013
Air transportation,2013,12,1125.26,441.2,12/1/2013
Air transportation,2014,1,1105.54,438.4,1/1/2014
Air transportation,2014,2,1130.65,437,2/1/2014
Air transportation,2014,3,1135.01,440.2,3/1/2014
Air transportation,2014,4,1134.72,439.7,4/1/2014
Air transportation,2014,5,1148.24,444.1,5/1/2014
Air transportation,2014,6,1177.37,447.4,6/1/2014
Air transportation,2014,7,1129.63,448.9,7/1/2014
Air transportation,2014,8,1136.69,446.6,8/1/2014
Air transportation,2014,9,1132.32,444.9,9/1/2014
Air transportation,2014,10,1120.55,448,10/1/2014
Air transportation,2014,11,1142.88,448.4,11/1/2014
Air transportation,2014,12,1105.56,447.2,12/1/2014
Natural gas distribution,2006,1,0,107,1/1/2006
Natural gas distribution,2006,2,0,106.9,2/1/2006
Natural gas distribution,2006,3,1089.68,106.6,3/1/2006
Natural gas distribution,2006,4,1104.89,106.2,4/1/2006
Natural gas distribution,2006,5,1081.28,106.7,5/1/2006
Natural gas distribution,2006,6,1066.25,106.8,6/1/2006
Natural gas distribution,2006,7,1095.9,106.4,7/1/2006
Natural gas distribution,2006,8,1104.44,106.5,8/1/2006
Natural gas distribution,2006,9,1123.6,105,9/1/2006
Natural gas distribution,2006,10,1109.95,105.5,10/1/2006
Natural gas distribution,2006,11,1090.58,105.7,11/1/2006
Natural gas distribution,2006,12,1096.08,106.2,12/1/2006
Natural gas distribution,2007,1,1074.83,106.1,1/1/2007
Natural gas distribution,2007,2,1111.17,105.5,2/1/2007
Natural gas distribution,2007,3,1106.32,105.8,3/1/2007
Natural gas distribution,2007,4,1156.01,106.9,4/1/2007
Natural gas distribution,2007,5,1188.44,107.4,5/1/2007
Natural gas distribution,2007,6,1168.84,107.6,6/1/2007
Natural gas distribution,2007,7,1194.98,108.2,7/1/2007
Natural gas distribution,2007,8,1177.1,108.4,8/1/2007
Natural gas distribution,2007,9,1252.39,107.5,9/1/2007
Natural gas distribution,2007,10,1205.82,107.7,10/1/2007
Natural gas distribution,2007,11,1203.6,108.1,11/1/2007
Natural gas distribution,2007,12,1238.82,107.9,12/1/2007
Natural gas distribution,2008,1,1309.34,108.3,1/1/2008
Natural gas distribution,2008,2,1430.46,107,2/1/2008
Natural gas distribution,2008,3,1246.31,107.6,3/1/2008
Natural gas distribution,2008,4,1248,106.6,4/1/2008
Natural gas distribution,2008,5,1283.59,107.3,5/1/2008
Natural gas distribution,2008,6,1327.39,108,6/1/2008
Natural gas distribution,2008,7,1314.98,108,7/1/2008
Natural gas distribution,2008,8,1368.43,106.8,8/1/2008
Natural gas distribution,2008,9,1382.8,105.4,9/1/2008
Natural gas distribution,2008,10,1388.4,106.8,10/1/2008
Natural gas distribution,2008,11,1451.86,107.1,11/1/2008
Natural gas distribution,2008,12,1407.76,107.7,12/1/2008
Natural gas distribution,2009,1,1457.06,108.6,1/1/2009
Natural gas distribution,2009,2,1425.47,108.7,2/1/2009
Natural gas distribution,2009,3,1398.97,109,3/1/2009
Natural gas distribution,2009,4,1396.8,107.7,4/1/2009
Natural gas distribution,2009,5,1407.91,108.1,5/1/2009
Natural gas distribution,2009,6,1406.31,109.5,6/1/2009
Natural gas distribution,2009,7,1386.4,108.5,7/1/2009
Natural gas distribution,2009,8,1404.86,108.7,8/1/2009
Natural gas distribution,2009,9,1390.14,108.8,9/1/2009
Natural gas distribution,2009,10,1417.13,109.3,10/1/2009
Natural gas distribution,2009,11,1420.02,108.8,11/1/2009
Natural gas distribution,2009,12,1393.7,108.3,12/1/2009
Natural gas distribution,2010,1,1364.35,109.2,1/1/2010
Natural gas distribution,2010,2,1233.21,108.6,2/1/2010
Natural gas distribution,2010,3,1266.54,108.5,3/1/2010
Natural gas distribution,2010,4,1253.99,107.5,4/1/2010
Natural gas distribution,2010,5,1360.59,107.8,5/1/2010
Natural gas distribution,2010,6,1274.43,108.3,6/1/2010
Natural gas distribution,2010,7,1265.36,108,7/1/2010
Natural gas distribution,2010,8,1284.12,107.7,8/1/2010
Natural gas distribution,2010,9,1290.1,106.9,9/1/2010
Natural gas distribution,2010,10,1284.58,107.6,10/1/2010
Natural gas distribution,2010,11,1282.32,107.3,11/1/2010
Natural gas distribution,2010,12,1275.41,107.4,12/1/2010
Natural gas distribution,2011,1,1328.56,106.9,1/1/2011
Natural gas distribution,2011,2,1360.62,106.8,2/1/2011
Natural gas distribution,2011,3,1344.38,107.2,3/1/2011
Natural gas distribution,2011,4,1381.85,108.1,4/1/2011
Natural gas distribution,2011,5,1308.46,108.6,5/1/2011
Natural gas distribution,2011,6,1314.99,109,6/1/2011
Natural gas distribution,2011,7,1289.57,108.6,7/1/2011
Natural gas distribution,2011,8,1293.56,108.1,8/1/2011
Natural gas distribution,2011,9,1321.03,108.8,9/1/2011
Natural gas distribution,2011,10,1346.13,107.6,10/1/2011
Natural gas distribution,2011,11,1330.02,108,11/1/2011
Natural gas distribution,2011,12,1319.37,107.6,12/1/2011
Natural gas distribution,2012,1,1347.67,108.3,1/1/2012
Natural gas distribution,2012,2,1317.33,107.7,2/1/2012
Natural gas distribution,2012,3,1285.58,108.5,3/1/2012
Natural gas distribution,2012,4,1338.53,109.3,4/1/2012
Natural gas distribution,2012,5,1323.56,108.8,5/1/2012
Natural gas distribution,2012,6,1342.75,109.5,6/1/2012
Natural gas distribution,2012,7,1355.13,109.9,7/1/2012
Natural gas distribution,2012,8,1327.89,110,8/1/2012
Natural gas distribution,2012,9,1392.28,108.9,9/1/2012
Natural gas distribution,2012,10,1345.95,109.6,10/1/2012
Natural gas distribution,2012,11,1382.93,107.8,11/1/2012
Natural gas distribution,2012,12,1446.57,109.7,12/1/2012
Natural gas distribution,2013,1,1417.28,109.9,1/1/2013
Natural gas distribution,2013,2,1426.56,109.9,2/1/2013
Natural gas distribution,2013,3,1434.9,109.8,3/1/2013
Natural gas distribution,2013,4,1421.79,109.7,4/1/2013
Natural gas distribution,2013,5,1417.69,110.6,5/1/2013
Natural gas distribution,2013,6,1423.97,111.8,6/1/2013
Natural gas distribution,2013,7,1406.96,111.2,7/1/2013
Natural gas distribution,2013,8,1423.22,110.6,8/1/2013
Natural gas distribution,2013,9,1438.11,110.6,9/1/2013
Natural gas distribution,2013,10,1425.82,111,10/1/2013
Natural gas distribution,2013,11,1436.25,111.2,11/1/2013
Natural gas distribution,2013,12,1454.04,111.6,12/1/2013
Natural gas distribution,2014,1,1451.19,110.9,1/1/2014
Natural gas distribution,2014,2,1476.14,110.6,2/1/2014
Natural gas distribution,2014,3,1459.61,110.8,3/1/2014
Natural gas distribution,2014,4,1438.65,110.5,4/1/2014
Natural gas distribution,2014,5,1418.89,110.6,5/1/2014
Natural gas distribution,2014,6,1407.09,111.4,6/1/2014
Natural gas distribution,2014,7,1409.17,113.4,7/1/2014
Natural gas distribution,2014,8,1429.06,112.9,8/1/2014
Natural gas distribution,2014,9,1455.3,112,9/1/2014
Natural gas distribution,2014,10,1440.74,113,10/1/2014
Natural gas distribution,2014,11,1499.95,113.4,11/1/2014
Natural gas distribution,2014,12,1463.15,113.2,12/1/2014
"Securities and commodity contracts brokerage, intermediation, and exchanges",2006,1,0,502.5,1/1/2006
"Securities and commodity contracts brokerage, intermediation, and exchanges",2006,2,0,505.8,2/1/2006
"Securities and commodity contracts brokerage, intermediation, and exchanges",2006,3,1186.19,507.9,3/1/2006
"Securities and commodity contracts brokerage, intermediation, and exchanges",2006,4,1308.72,510.6,4/1/2006
"Securities and commodity contracts brokerage, intermediation, and exchanges",2006,5,1220.68,509.3,5/1/2006
"Securities and commodity contracts brokerage, intermediation, and exchanges",2006,6,1192.67,512.1,6/1/2006
"Securities and commodity contracts brokerage, intermediation, and exchanges",2006,7,1323.93,516.7,7/1/2006
"Securities and commodity contracts brokerage, intermediation, and exchanges",2006,8,1286.12,519.1,8/1/2006
"Securities and commodity contracts brokerage, intermediation, and exchanges",2006,9,1286.68,519,9/1/2006
"Securities and commodity contracts brokerage, intermediation, and exchanges",2006,10,1363.86,523,10/1/2006
"Securities and commodity contracts brokerage, intermediation, and exchanges",2006,11,1310.4,523.8,11/1/2006
"Securities and commodity contracts brokerage, intermediation, and exchanges",2006,12,1334.66,521.5,12/1/2006
"Securities and commodity contracts brokerage, intermediation, and exchanges",2007,1,1356.67,520.5,1/1/2007
"Securities and commodity contracts brokerage, intermediation, and exchanges",2007,2,1389.9,521.7,2/1/2007
"Securities and commodity contracts brokerage, intermediation, and exchanges",2007,3,1368.76,520.4,3/1/2007
"Securities and commodity contracts brokerage, intermediation, and exchanges",2007,4,1427.93,517.6,4/1/2007
"Securities and commodity contracts brokerage, intermediation, and exchanges",2007,5,1371.38,520.8,5/1/2007
"Securities and commodity contracts brokerage, intermediation, and exchanges",2007,6,1393.54,524.5,6/1/2007
"Securities and commodity contracts brokerage, intermediation, and exchanges",2007,7,1463.14,525,7/1/2007
"Securities and commodity contracts brokerage, intermediation, and exchanges",2007,8,1447.63,524.4,8/1/2007
"Securities and commodity contracts brokerage, intermediation, and exchanges",2007,9,1504.29,524.6,9/1/2007
"Securities and commodity contracts brokerage, intermediation, and exchanges",2007,10,1463.33,523,10/1/2007
"Securities and commodity contracts brokerage, intermediation, and exchanges",2007,11,1455.8,525.8,11/1/2007
"Securities and commodity contracts brokerage, intermediation, and exchanges",2007,12,1523.02,522.4,12/1/2007
"Securities and commodity contracts brokerage, intermediation, and exchanges",2008,1,1505.82,523.1,1/1/2008
"Securities and commodity contracts brokerage, intermediation, and exchanges",2008,2,1524.12,526.5,2/1/2008
"Securities and commodity contracts brokerage, intermediation, and exchanges",2008,3,1544.06,527,3/1/2008
"Securities and commodity contracts brokerage, intermediation, and exchanges",2008,4,1489.57,527,4/1/2008
"Securities and commodity contracts brokerage, intermediation, and exchanges",2008,5,1494.91,524.7,5/1/2008
"Securities and commodity contracts brokerage, intermediation, and exchanges",2008,6,1540.9,529.3,6/1/2008
"Securities and commodity contracts brokerage, intermediation, and exchanges",2008,7,1478.96,522.9,7/1/2008
"Securities and commodity contracts brokerage, intermediation, and exchanges",2008,8,1485.42,523.5,8/1/2008
"Securities and commodity contracts brokerage, intermediation, and exchanges",2008,9,1488.33,511.6,9/1/2008
"Securities and commodity contracts brokerage, intermediation, and exchanges",2008,10,1481.89,508.3,10/1/2008
"Securities and commodity contracts brokerage, intermediation, and exchanges",2008,11,1556.24,508,11/1/2008
"Securities and commodity contracts brokerage, intermediation, and exchanges",2008,12,1484.16,507.7,12/1/2008
"Securities and commodity contracts brokerage, intermediation, and exchanges",2009,1,1480.75,497.9,1/1/2009
"Securities and commodity contracts brokerage, intermediation, and exchanges",2009,2,1582.85,495.4,2/1/2009
"Securities and commodity contracts brokerage, intermediation, and exchanges",2009,3,1540.54,492.8,3/1/2009
"Securities and commodity contracts brokerage, intermediation, and exchanges",2009,4,1488.56,481.8,4/1/2009
"Securities and commodity contracts brokerage, intermediation, and exchanges",2009,5,1498.19,477.4,5/1/2009
"Securities and commodity contracts brokerage, intermediation, and exchanges",2009,6,1500.46,478.2,6/1/2009
"Securities and commodity contracts brokerage, intermediation, and exchanges",2009,7,1493.63,475.1,7/1/2009
"Securities and commodity contracts brokerage, intermediation, and exchanges",2009,8,1634.13,471.3,8/1/2009
"Securities and commodity contracts brokerage, intermediation, and exchanges",2009,9,1534.9,469.4,9/1/2009
"Securities and commodity contracts brokerage, intermediation, and exchanges",2009,10,1552.85,469.4,10/1/2009
"Securities and commodity contracts brokerage, intermediation, and exchanges",2009,11,1585.68,472,11/1/2009
"Securities and commodity contracts brokerage, intermediation, and exchanges",2009,12,1506.17,472.2,12/1/2009
"Securities and commodity contracts brokerage, intermediation, and exchanges",2010,1,1559.05,470.9,1/1/2010
"Securities and commodity contracts brokerage, intermediation, and exchanges",2010,2,1550.17,468.9,2/1/2010
"Securities and commodity contracts brokerage, intermediation, and exchanges",2010,3,1544.97,468.4,3/1/2010
"Securities and commodity contracts brokerage, intermediation, and exchanges",2010,4,1509.6,470.2,4/1/2010
"Securities and commodity contracts brokerage, intermediation, and exchanges",2010,5,1582.99,470.3,5/1/2010
"Securities and commodity contracts brokerage, intermediation, and exchanges",2010,6,1493.25,472.8,6/1/2010
"Securities and commodity contracts brokerage, intermediation, and exchanges",2010,7,1489.93,475,7/1/2010
"Securities and commodity contracts brokerage, intermediation, and exchanges",2010,8,1566.18,471,8/1/2010
"Securities and commodity contracts brokerage, intermediation, and exchanges",2010,9,1479,473.8,9/1/2010
"Securities and commodity contracts brokerage, intermediation, and exchanges",2010,10,1467.4,470.7,10/1/2010
"Securities and commodity contracts brokerage, intermediation, and exchanges",2010,11,1497.82,471.1,11/1/2010
"Securities and commodity contracts brokerage, intermediation, and exchanges",2010,12,1479.94,470.8,12/1/2010
"Securities and commodity contracts brokerage, intermediation, and exchanges",2011,1,1563.39,469.5,1/1/2011
"Securities and commodity contracts brokerage, intermediation, and exchanges",2011,2,1494.05,469.4,2/1/2011
"Securities and commodity contracts brokerage, intermediation, and exchanges",2011,3,1449.86,469.1,3/1/2011
"Securities and commodity contracts brokerage, intermediation, and exchanges",2011,4,1476.3,467.4,4/1/2011
"Securities and commodity contracts brokerage, intermediation, and exchanges",2011,5,1524.51,467.4,5/1/2011
"Securities and commodity contracts brokerage, intermediation, and exchanges",2011,6,1539.59,470.7,6/1/2011
"Securities and commodity contracts brokerage, intermediation, and exchanges",2011,7,1534.19,472.4,7/1/2011
"Securities and commodity contracts brokerage, intermediation, and exchanges",2011,8,1487.32,472.3,8/1/2011
"Securities and commodity contracts brokerage, intermediation, and exchanges",2011,9,1504.04,469.9,9/1/2011
"Securities and commodity contracts brokerage, intermediation, and exchanges",2011,10,1667.62,468.1,10/1/2011
"Securities and commodity contracts brokerage, intermediation, and exchanges",2011,11,1558.76,467.6,11/1/2011
"Securities and commodity contracts brokerage, intermediation, and exchanges",2011,12,1505.77,465.5,12/1/2011
"Securities and commodity contracts brokerage, intermediation, and exchanges",2012,1,1689.63,462.8,1/1/2012
"Securities and commodity contracts brokerage, intermediation, and exchanges",2012,2,1546.17,462.6,2/1/2012
"Securities and commodity contracts brokerage, intermediation, and exchanges",2012,3,1546.34,461.4,3/1/2012
"Securities and commodity contracts brokerage, intermediation, and exchanges",2012,4,1654.41,460,4/1/2012
"Securities and commodity contracts brokerage, intermediation, and exchanges",2012,5,1598.18,458.3,5/1/2012
"Securities and commodity contracts brokerage, intermediation, and exchanges",2012,6,1579.28,461.4,6/1/2012
"Securities and commodity contracts brokerage, intermediation, and exchanges",2012,7,1690.29,461.3,7/1/2012
"Securities and commodity contracts brokerage, intermediation, and exchanges",2012,8,1637.66,459,8/1/2012
"Securities and commodity contracts brokerage, intermediation, and exchanges",2012,9,1725.27,452.5,9/1/2012
"Securities and commodity contracts brokerage, intermediation, and exchanges",2012,10,1662.67,453.9,10/1/2012
"Securities and commodity contracts brokerage, intermediation, and exchanges",2012,11,1694.57,451.9,11/1/2012
"Securities and commodity contracts brokerage, intermediation, and exchanges",2012,12,1803.97,452.1,12/1/2012
"Securities and commodity contracts brokerage, intermediation, and exchanges",2013,1,1713.06,449.1,1/1/2013
"Securities and commodity contracts brokerage, intermediation, and exchanges",2013,2,1779.42,450.2,2/1/2013
"Securities and commodity contracts brokerage, intermediation, and exchanges",2013,3,1723.26,450.4,3/1/2013
"Securities and commodity contracts brokerage, intermediation, and exchanges",2013,4,1776.37,449.3,4/1/2013
"Securities and commodity contracts brokerage, intermediation, and exchanges",2013,5,1790.37,448.1,5/1/2013
"Securities and commodity contracts brokerage, intermediation, and exchanges",2013,6,1943.93,451.3,6/1/2013
"Securities and commodity contracts brokerage, intermediation, and exchanges",2013,7,1767.58,454.5,7/1/2013
"Securities and commodity contracts brokerage, intermediation, and exchanges",2013,8,1813.81,451,8/1/2013
"Securities and commodity contracts brokerage, intermediation, and exchanges",2013,9,1981.74,446.8,9/1/2013
"Securities and commodity contracts brokerage, intermediation, and exchanges",2013,10,1873.75,447.8,10/1/2013
"Securities and commodity contracts brokerage, intermediation, and exchanges",2013,11,1896.38,446.4,11/1/2013
"Securities and commodity contracts brokerage, intermediation, and exchanges",2013,12,1891.3,448.1,12/1/2013
"Securities and commodity contracts brokerage, intermediation, and exchanges",2014,1,1803.04,445,1/1/2014
"Securities and commodity contracts brokerage, intermediation, and exchanges",2014,2,1960.29,445,2/1/2014
"Securities and commodity contracts brokerage, intermediation, and exchanges",2014,3,1933.53,445.7,3/1/2014
"Securities and commodity contracts brokerage, intermediation, and exchanges",2014,4,1849.52,444,4/1/2014
"Securities and commodity contracts brokerage, intermediation, and exchanges",2014,5,1851.47,444.2,5/1/2014
"Securities and commodity contracts brokerage, intermediation, and exchanges",2014,6,1956.24,448.8,6/1/2014
"Securities and commodity contracts brokerage, intermediation, and exchanges",2014,7,1820.99,452.2,7/1/2014
"Securities and commodity contracts brokerage, intermediation, and exchanges",2014,8,1877.38,453.3,8/1/2014
"Securities and commodity contracts brokerage, intermediation, and exchanges",2014,9,1864.5,448.4,9/1/2014
"Securities and commodity contracts brokerage, intermediation, and exchanges",2014,10,1862.76,449.7,10/1/2014
"Securities and commodity contracts brokerage, intermediation, and exchanges",2014,11,1942.98,448.3,11/1/2014
"Securities and commodity contracts brokerage, intermediation, and exchanges",2014,12,1827.74,446.3,12/1/2014
Home health care services,2006,1,0,841.5,1/1/2006
Home health care services,2006,2,0,845.1,2/1/2006
Home health care services,2006,3,456.4,855.9,3/1/2006
Home health care services,2006,4,461.99,856.9,4/1/2006
Home health care services,2006,5,458.64,863.6,5/1/2006
Home health care services,2006,6,461.5,862.5,6/1/2006
Home health care services,2006,7,467.04,865.3,7/1/2006
Home health care services,2006,8,459.76,871.1,8/1/2006
Home health care services,2006,9,462.28,872.6,9/1/2006
Home health care services,2006,10,457.12,878.8,10/1/2006
Home health care services,2006,11,456.72,884.9,11/1/2006
Home health care services,2006,12,464.77,888.4,12/1/2006
Home health care services,2007,1,457.05,888.2,1/1/2007
Home health care services,2007,2,456.4,891,2/1/2007
Home health care services,2007,3,462.81,899.6,3/1/2007
Home health care services,2007,4,464.34,900.7,4/1/2007
Home health care services,2007,5,461.07,904.7,5/1/2007
Home health care services,2007,6,464.55,912.8,6/1/2007
Home health care services,2007,7,467.4,918.2,7/1/2007
Home health care services,2007,8,469.17,925.8,8/1/2007
Home health care services,2007,9,479.23,925.2,9/1/2007
Home health care services,2007,10,473.74,932.2,10/1/2007
Home health care services,2007,11,477.7,933.1,11/1/2007
Home health care services,2007,12,494.74,934.6,12/1/2007
