year,type,continent,country,value,adj_value
2015,Imports,Africa,Djibouti,35.463684,35.463684
2015,Imports,Africa,Uganda,64.123855,64.123855
2015,Imports,Africa,Kenya,573.095415,573.095415
2015,Imports,Africa,Seychelles,5.83899,5.83899
2015,Imports,Africa,British Indian Ocean Terr.,15.818366,15.818366
2015,Imports,Africa,Tanzania,104.93518,104.93518
2015,Imports,Africa,Mauritius,395.664813,395.664813
2015,Imports,Africa,Mozambique,96.026702,96.026702
2015,Imports,Africa,Madagascar,319.783011,319.783011
2015,Imports,Africa,Mayotte,0.095927,0.095927
2015,Imports,Africa,Comoros,1.211821,1.211821
2015,Imports,Africa,Reunion,16.967288,16.967288
2015,Imports,Africa,French Southern and Antarctic,0.013953,0.013953
2015,Imports,Africa,South Africa,7314.612701,7314.612701
2015,Imports,Africa,Namibia,85.353831,85.353831
2015,Imports,Africa,Botswana,211.913954,211.913954
2015,Imports,Africa,Zambia,47.114386,47.114386
2015,Imports,Africa,Swaziland,21.49843,21.49843
2015,Imports,Africa,Zimbabwe,67.166669,67.166669
2015,Imports,Africa,Malawi,61.395881,61.395881
2015,Imports,Africa,Lesotho,331.955607,331.955607
2015,Exports,North America,Greenland,8.076839,8.076839
2015,Exports,North America,Canada,280609.0056,280609.0056
2015,Exports,North America,St Pierre and Miquelon,0.227459,0.227459
2015,Exports,North America,Mexico,235745.1375,235745.1375
2015,Exports,North America,Guatemala,5806.713895,5806.713895
2015,Exports,North America,Belize,285.240264,285.240264
2015,Exports,North America,El Salvador,3240.284878,3240.284878
2015,Exports,North America,Honduras,5214.668234,5214.668234
2015,Exports,North America,Nicaragua,1267.532561,1267.532561
2015,Exports,North America,Costa Rica,6079.415736,6079.415736
2015,Exports,North America,Panama,7663.548283,7663.548283
2015,Exports,North America,Bermuda,600.945255,600.945255
2015,Exports,North America,Bahamas,2386.461864,2386.461864
2015,Exports,North America,Cuba,180.215206,180.215206
2015,Exports,North America,Jamaica,1716.030814,1716.030814
2015,Exports,North America,Turks and Caicos Islands,279.728597,279.728597
2015,Exports,North America,Cayman Islands,684.947958,684.947958
2015,Exports,North America,Haiti,1140.574185,1140.574185
2015,Exports,North America,Dominican Republic,7113.829302,7113.829302
2015,Exports,North America,Anguilla,47.602633,47.602633
2015,Exports,North America,British Virgin Islands,259.758571,259.758571
2015,Exports,North America,St Kitts and Nevis,149.707108,149.707108
2015,Exports,North America,Antigua and Barbuda,677.657633,677.657633
2015,Exports,North America,Montserrat,6.640011,6.640011
2015,Exports,North America,Dominica,67.312046,67.312046
2015,Exports,North America,St Lucia,510.811024,510.811024
2015,Exports,North America,St Vincent and the Grenadines,84.722498,84.722498
2015,Exports,North America,Grenada,90.420149,90.420149
2015,Exports,North America,Barbados,595.966307,595.966307
2015,Exports,North America,Trinidad and Tobago,2511.195111,2511.195111
2015,Exports,North America,Sint Maarten,741.201231,741.201231
2015,Exports,North America,Curacao,522.079698,522.079698
2015,Exports,North America,Aruba,1167.632524,1167.632524
2015,Exports,North America,Guadeloupe,100.959536,100.959536
2015,Exports,North America,Martinique,119.577165,119.577165
2015,Exports,South America,Colombia,16286.7799,16286.7799
2015,Exports,South America,Venezuela,8345.880233,8345.880233
2015,Exports,South America,Guyana,368.129666,368.129666
2015,Exports,South America,Suriname,443.643313,443.643313
2015,Exports,South America,French Guiana,1073.642767,1073.642767
2015,Exports,South America,Ecuador,5794.812688,5794.812688
2015,Exports,South America,Peru,8725.607473,8725.607473
2015,Exports,South America,Bolivia,931.431709,931.431709
2015,Exports,South America,Chile,15445.13797,15445.13797
2015,Exports,South America,Brazil,31650.62387,31650.62387
2015,Exports,South America,Paraguay,1514.300292,1514.300292
2015,Exports,South America,Uruguay,1295.148749,1295.148749
2015,Exports,South America,Argentina,9341.210651,9341.210651
2015,Exports,South America,Falkland Islands(Islas Malvin,2.917708,2.917708
2015,Exports,Europe,Iceland,415.45785,415.45785
2015,Exports,Europe,Sweden,3940.8105,3940.8105
2015,Exports,Europe,Svalbard Jan Mayen Island,0.380164,0.380164
2015,Exports,Europe,Norway,3570.63315,3570.63315
2015,Exports,Europe,Finland,1558.146898,1558.146898
2015,Exports,Europe,Faroe Islands,2.336863,2.336863
2015,Exports,Europe,Denmark,2202.093582,2202.093582
2015,Exports,Europe,United Kingdom,56114.61886,56114.61886
2015,Exports,Europe,Ireland,8930.773509,8930.773509
2015,Exports,Europe,Netherlands,40196.15629,40196.15629
2015,Exports,Europe,Belgium,34159.97966,34159.97966
2015,Exports,Europe,Luxembourg,1394.17473,1394.17473
2015,Exports,Europe,Andorra,3.336817,3.336817
2015,Exports,Europe,Monaco,71.128048,71.128048
2015,Exports,Europe,France,30103.5212,30103.5212
2015,Exports,Europe,Germany,49970.80411,49970.80411
2015,Exports,Europe,Austria,4024.435888,4024.435888
2015,Exports,Europe,Czech Republic,1976.037865,1976.037865
2015,Exports,Europe,Slovakia,379.469169,379.469169
2015,Exports,Europe,Hungary,1715.278037,1715.278037
2015,Exports,Europe,Liechtenstein,35.930552,35.930552
2015,Exports,Europe,Switzerland,22185.27991,22185.27991
2015,Exports,Europe,Estonia,288.143789,288.143789
2015,Exports,Europe,Latvia,294.787977,294.787977
2015,Exports,Europe,Lithuania,527.67763,527.67763
2015,Exports,Europe,Poland,3715.441301,3715.441301
2015,Exports,Europe,Russia,7087.111574,7087.111574
2015,Exports,Europe,Belarus,59.235752,59.235752
2015,Exports,Europe,Ukraine,862.088348,862.088348
2015,Exports,Europe,Armenia,50.24617,50.24617
2015,Exports,Europe,Azerbaijan,477.316108,477.316108
2015,Exports,Europe,Georgia,340.502111,340.502111
2015,Exports,Europe,Kazakhstan,510.479071,510.479071
2015,Exports,Europe,Kyrgyzstan,32.003481,32.003481
2015,Exports,Europe,Moldova,16.163682,16.163682
2015,Exports,Europe,Tajikistan,18.985373,18.985373
2015,Exports,Europe,Turkmenistan,80.839805,80.839805
2015,Exports,Europe,Uzbekistan,137.962928,137.962928
2015,Exports,Europe,Spain,10310.27052,10310.27052
2015,Exports,Europe,Portugal,942.466275,942.466275
2015,Exports,Europe,Gibraltar,1972.99261,1972.99261
2015,Exports,Europe,Malta,490.660579,490.660579
2015,Exports,Europe,San Marino,5.011879,5.011879
2015,Exports,Europe,Vatican City,2.226547,2.226547
2015,Exports,Europe,Italy,16204.22609,16204.22609
2015,Exports,Europe,Croatia,331.976272,331.976272
2015,Exports,Europe,Slovenia,346.040192,346.040192
2015,Exports,Europe,Bosnia and Herzegovina,27.586061,27.586061
2015,Exports,Europe,Macedonia,30.678977,30.678977
